Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","62.846072","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","65.548053","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","69.751134","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","66.94908","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","62.545852","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","61.445045","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","60.144091","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","59.843871","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","61.144825","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","64.347172","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","67.449446","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","68.049887","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","67.049153","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","66.448713","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","68.350107","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","68.550253","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","69.550987","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","68.14996","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","67.84974","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","67.449446","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","68.049887","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","69.95128","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","72.953481","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","78.157296","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","83.461184","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","84.061625","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","85.162432","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","85.662798","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","86.763605","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","84.962285","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","82.660598","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","80.859277","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","80.759204","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","82.160231","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","85.762872","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","88.364779","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","89.965953","X","Figure from international organizations","base year is 2015"
